registration_month,powertrain_group,registration_count
1989-08,combustion,51
1989-09,combustion,53
1989-10,combustion,46
1989-11,combustion,66
1989-12,combustion,51
1990-01,combustion,66
1990-02,combustion,51
1990-03,combustion,67
1990-04,combustion,59
1990-05,combustion,68
1990-06,combustion,54
1990-07,combustion,76
1990-08,combustion,60
1990-09,combustion,56
1990-10,combustion,116
1990-11,combustion,55
1990-12,combustion,80
1991-01,combustion,52
1991-02,combustion,31
1991-03,combustion,42
1991-04,combustion,42
1991-05,combustion,40
1991-06,combustion,34
1991-07,combustion,35
1991-08,combustion,50
1991-09,combustion,48
1991-10,combustion,41
1991-11,combustion,41
1991-12,combustion,61
1992-01,combustion,46
1992-02,combustion,53
1992-03,combustion,38
1992-04,combustion,23
1992-05,combustion,44
1992-06,combustion,47
1992-07,combustion,52
1992-08,combustion,52
1992-09,combustion,51
1992-10,combustion,41
1992-11,combustion,52
1992-12,combustion,49
1993-01,combustion,45
1993-02,combustion,45
1993-03,combustion,56
1993-04,combustion,43
1993-05,combustion,54
1993-06,combustion,46
1993-07,combustion,64
1993-08,combustion,46
1993-09,combustion,47
1993-10,combustion,58
1993-11,combustion,65
1993-12,combustion,50
1994-01,combustion,70
1994-02,combustion,53
1994-03,combustion,89
1994-04,combustion,45
1994-05,combustion,68
1994-06,combustion,67
1994-07,combustion,55
1994-08,combustion,63
1994-09,combustion,77
1994-10,combustion,98
1994-11,combustion,86
1994-12,combustion,69
1995-01,combustion,114
1995-02,combustion,81
1995-03,combustion,90
1995-04,combustion,76
1995-05,combustion,90
1995-06,combustion,92
1995-07,combustion,92
1995-08,combustion,107
1995-09,combustion,118
1995-10,combustion,109
1995-11,combustion,96
1995-12,combustion,93
1996-01,combustion,100
1996-02,combustion,95
1996-03,combustion,116
1996-04,combustion,104
1996-05,combustion,122
1996-06,combustion,91
1996-07,combustion,126
1996-08,combustion,137
1996-09,combustion,440
1996-10,combustion,672
1996-11,combustion,799
1996-12,combustion,845
1996-12,bev,1
1997-01,combustion,731
1997-02,combustion,687
1997-02,bev,1
1997-03,combustion,712
1997-04,combustion,848
1997-05,combustion,890
1997-06,combustion,761
1997-07,combustion,882
1997-08,combustion,721
1997-09,combustion,788
1997-09,bev,1
1997-10,combustion,710
1997-11,combustion,590
1997-12,combustion,742
1998-01,combustion,657
1998-02,combustion,587
1998-03,combustion,671
1998-04,combustion,571
1998-05,combustion,616
1998-06,combustion,698
1998-07,combustion,848
1998-08,combustion,866
1998-09,combustion,897
1998-10,combustion,946
1998-11,combustion,907
1998-12,combustion,1058
1999-01,combustion,822
1999-02,combustion,807
1999-03,combustion,1018
1999-03,bev,1
1999-04,combustion,1016
1999-05,combustion,1030
1999-06,combustion,1092
1999-07,combustion,1098
1999-08,combustion,1140
1999-09,combustion,1082
1999-10,combustion,1071
1999-10,bev,2
1999-11,combustion,1186
1999-12,combustion,1220
1999-12,bev,1
2000-01,combustion,1025
2000-02,combustion,1146
2000-03,combustion,1306
2000-04,combustion,977
2000-05,combustion,1353
2000-06,combustion,1416
2000-07,combustion,1496
2000-08,combustion,1680
2000-09,combustion,1674
2000-10,combustion,1705
2000-11,combustion,1762
2000-12,combustion,1654
2000-12,bev,1
2001-01,combustion,1921
2001-02,combustion,1848
2001-03,combustion,2319
2001-04,combustion,1945
2001-04,bev,1
2001-05,combustion,2365
2001-06,combustion,2553
2001-07,combustion,2447
2001-08,combustion,2507
2001-09,combustion,2276
2001-10,combustion,2738
2001-10,hybrid,1
2001-11,combustion,2854
2001-12,combustion,2741
2002-01,combustion,2756
2002-01,bev,1
2002-02,combustion,2521
2002-03,combustion,3152
2002-03,hybrid,1
2002-04,combustion,2840
2002-05,combustion,3193
2002-06,combustion,3213
2002-07,combustion,3312
2002-08,combustion,3343
2002-09,combustion,3420
2002-10,combustion,3734
2002-11,combustion,3470
2002-12,combustion,3361
2003-01,combustion,3955
2003-01,bev,1
2003-02,combustion,3721
2003-03,combustion,4050
2003-03,bev,1
2003-04,combustion,3600
2003-05,combustion,4372
2003-05,bev,1
2003-06,combustion,4679
2003-07,combustion,4869
2003-07,bev,1
2003-08,combustion,4390
2003-08,hybrid,1
2003-09,combustion,4958
2003-10,combustion,5170
2003-10,hybrid,5
2003-11,combustion,4362
2003-11,hybrid,5
2003-12,combustion,4679
2003-12,hybrid,1
2004-01,combustion,4692
2004-01,hybrid,3
2004-02,combustion,4527
2004-02,hybrid,6
2004-03,combustion,5413
