registration_month,import_status_group,registration_count
1972-10,nz_new,6
1972-11,other_or_unknown,78
1972-11,nz_new,8
1972-12,other_or_unknown,79
1972-12,nz_new,7
1973-01,other_or_unknown,174
1973-01,nz_new,15
1973-02,other_or_unknown,64
1973-02,nz_new,4
1973-03,other_or_unknown,37
1973-03,nz_new,6
1973-04,other_or_unknown,45
1973-04,nz_new,9
1973-05,other_or_unknown,55
1973-05,nz_new,14
1973-06,other_or_unknown,48
1973-06,nz_new,6
1973-07,other_or_unknown,45
1973-07,nz_new,10
1973-08,other_or_unknown,37
1973-08,nz_new,6
1973-09,other_or_unknown,48
1973-09,nz_new,3
1973-10,other_or_unknown,57
1973-10,nz_new,3
1973-11,other_or_unknown,61
1973-11,nz_new,10
1973-12,other_or_unknown,57
1973-12,nz_new,6
1974-01,other_or_unknown,162
1974-01,nz_new,6
1974-02,other_or_unknown,67
1974-02,nz_new,7
1974-03,other_or_unknown,43
1974-03,nz_new,6
1974-04,other_or_unknown,55
1974-04,nz_new,7
1974-05,other_or_unknown,77
1974-05,nz_new,13
1974-06,other_or_unknown,70
1974-06,nz_new,7
1974-07,other_or_unknown,68
1974-07,nz_new,9
1974-08,other_or_unknown,64
1974-08,nz_new,8
1974-09,other_or_unknown,26
1974-09,nz_new,1
1974-10,other_or_unknown,37
1974-10,nz_new,5
1974-11,other_or_unknown,30
1974-11,nz_new,8
1974-12,other_or_unknown,53
1974-12,nz_new,6
1975-01,other_or_unknown,82
1975-01,nz_new,7
1975-02,other_or_unknown,39
1975-02,nz_new,4
1975-03,other_or_unknown,43
1975-03,nz_new,7
1975-04,other_or_unknown,40
1975-04,nz_new,6
1975-05,other_or_unknown,42
1975-05,nz_new,3
1975-06,other_or_unknown,43
1975-06,nz_new,4
1975-07,other_or_unknown,34
1975-07,nz_new,1
1975-08,other_or_unknown,41
1975-08,nz_new,7
1975-09,other_or_unknown,35
1975-09,nz_new,6
1975-10,other_or_unknown,44
1975-10,nz_new,3
1975-11,other_or_unknown,35
1975-11,nz_new,2
1975-12,other_or_unknown,26
1975-12,nz_new,5
1976-01,other_or_unknown,53
1976-01,nz_new,8
1976-02,other_or_unknown,19
1976-02,nz_new,4
1976-03,other_or_unknown,38
1976-03,nz_new,6
1976-04,other_or_unknown,24
1976-04,nz_new,4
1976-05,other_or_unknown,27
1976-05,nz_new,1
1976-06,other_or_unknown,32
1976-06,nz_new,2
1976-07,other_or_unknown,23
1976-07,nz_new,1
1976-08,other_or_unknown,20
1976-08,nz_new,2
1976-09,other_or_unknown,22
1976-09,nz_new,3
1976-10,other_or_unknown,34
1976-10,nz_new,3
1976-11,other_or_unknown,39
